name,email,ssn,phone,address,transaction_amount,product,date,product_category,payment_method,store_location,customer_feedback,delivery_time_days,product_rating,quantity,brand
Matthew Wilson,brittany84@example.net,759-62-5052,(352)678-5944x70213,"584 Peters Plain, South Wendy, AS 72186",6156.45,customer,1978-02-26,Toys,Cash,"Mortonview, California",Fast shipping,7,3.5,5,Samsung
Mrs. Kelsey Brady,nwilson@example.org,749-91-7707,+1-500-601-2794,"10980 Raymond Stream, West Bethchester, AL 72435",3663.64,science,1986-06-29,Electronics,Debit Card,"Port Melissa, New Jersey",Poor quality,9,3.0,5,Adidas
Mary Buchanan,ule@example.com,847-16-3566,364.627.1294x0353,"477 George Estates Apt. 169, Stephanieville, AZ 56958",7284.6,choose,2005-10-28,Clothing,Credit Card,"Port Veronicastad, New Hampshire",Will buy again,9,2.4,4,Sony
Andre Elliott,tonywilliamson@example.net,212-16-8535,668-419-2098x357,"4281 Gallagher Fork, Taylortown, MN 70537",8744.7,clear,2012-04-16,Home,Debit Card,"East Stephanie, Wyoming",Great service!,7,2.9,3,Adidas
Sharon Crawford,briannagarcia@example.com,469-13-7051,+1-405-433-2974x86636,"5513 Craig Ramp, West Kristytown, MN 18568",97.2,number,2014-06-27,Grocery,Cash,"Lake Jamesville, Idaho",Great service!,2,3.3,5,Samsung
Dennis Larson,josephholland@example.com,312-76-9550,(442)764-4804x9088,"8634 Kayla Plaza Suite 520, Joshuamouth, RI 15051",4771.21,less,1980-02-16,Toys,Cash,"West Kelli, West Virginia",Poor quality,3,3.2,4,LG
Tracy Hernandez,bakerdavid@example.net,297-27-2983,5083749760,"19138 Nicholas Green, Diazbury, GA 94276",6675.3,eat,1974-06-13,Electronics,Credit Card,"South Rebeccaton, Ohio",Not satisfied,5,4.8,5,Sony
Shane Oconnell,eugene28@example.net,018-61-5800,329-973-9096x185,"144 Hunt Square, Roybury, NM 24832",350.15,beat,2022-08-25,Grocery,Debit Card,"Lisaview, South Carolina",Will buy again,9,1.1,5,Nike
Caitlin Lopez,ppalmer@example.com,497-99-4790,542-598-6962x71171,"92798 Mills Locks, Lake Richardberg, NJ 54474",392.1,share,2011-04-06,Toys,Debit Card,"Johntown, Missouri",Not satisfied,4,4.7,3,Apple
Roger Russell,andradecheryl@example.net,754-20-2366,263-876-2510x1837,"24982 Amber Lock Apt. 720, Hessmouth, NC 88625",7251.81,water,1979-01-02,Books,Debit Card,"Crawfordmouth, Hawaii",Great service!,3,3.1,1,Apple
Rachel Olson MD,michealcox@example.org,615-93-9700,970-250-3396x4664,"PSC 7924, Box 3323, APO AA 04273",4019.81,oil,1985-09-07,Toys,Debit Card,"Whitehaven, Pennsylvania",Not satisfied,1,1.5,5,Nike
Ryan Ritter,smaxwell@example.net,862-92-7364,668.457.8205x218,"915 Jenna Curve, Nicholehaven, KY 53513",9206.44,magazine,1971-07-28,Home,Cash,"West Justinhaven, New Mexico",Poor quality,2,2.9,3,Apple
Andrew Hawkins,sortiz@example.net,071-26-7041,001-598-717-4245,"5158 Rebecca Mews Suite 356, West Jeffreyshire, GA 66738",7589.4,effect,1970-06-10,Electronics,Credit Card,"New Francisborough, Maryland",Great service!,8,1.6,4,Ikea
Jennifer Smith,holly91@example.org,361-03-2098,6785770927,"3699 Pam Parkways, Wattsside, OK 13799",4110.55,to,1977-03-31,Grocery,Debit Card,"East Michelle, Arizona",Fast shipping,6,2.3,3,LG
Brett Dudley,justin27@example.com,047-31-6634,001-504-946-9065x930,"86383 Megan Heights Suite 402, New Charlesland, TX 77075",2021.4,matter,1987-04-07,Home,Net Banking,"East Coryport, Indiana",Not satisfied,8,1.6,5,Samsung
Warren Davis,yharris@example.org,080-60-6136,234.637.5641x30870,"6011 Stephen Highway Apt. 405, Cynthiaville, ID 43915",4663.6,possible,2016-03-13,Grocery,UPI,"Davidborough, New Hampshire",Poor quality,4,2.9,1,LG
Mark Nash,gmoyer@example.net,846-59-1046,919.428.3200x275,"304 Christopher Causeway Suite 570, Pooleton, AS 38065",3610.91,week,1976-04-24,Home,Credit Card,"Baileyberg, Wisconsin",Great service!,6,4.0,2,Apple
Kevin Nolan,emilysilva@example.org,743-40-9537,+1-278-248-8425x06521,"489 Hull Cove, Dawnbury, IA 19209",6901.81,eye,1986-01-29,Furniture,PayPal,"Lake James, New Mexico",Poor quality,5,4.9,2,Sony
Mrs. Laura Martinez,ritadrake@example.org,322-80-5332,864-804-3992,"02897 Walker Cliffs, Mauricetown, MN 80846",7333.71,five,2003-03-19,Books,Credit Card,"North Michelle, North Carolina",Will buy again,9,4.2,2,Samsung
Becky Smith,william91@example.org,895-60-3868,834-811-2713,"10032 Stacy Crossing Suite 204, Port Anthony, MD 81235",3458.23,little,1973-10-19,Grocery,Credit Card,"South Jimmy, Maryland",Okay,8,3.3,5,Samsung
Joseph Cruz,cruzjared@example.org,290-17-2235,988-376-2459x7887,"USNS Atkinson, FPO AE 34821",3156.22,wonder,2009-02-28,Furniture,PayPal,"Rodgersshire, Tennessee",Great service!,1,4.6,3,Ikea
Jessica Mendoza MD,agray@example.net,480-11-6205,(475)308-9302x9708,"PSC 7534, Box 0124, APO AE 70807",5491.96,pay,2015-11-30,Clothing,Debit Card,"Floreston, Colorado",Not satisfied,5,2.2,1,Samsung
Christina Price,josephrangel@example.net,303-01-3057,(929)355-2546,"9345 Ana Landing Suite 201, New Andreamouth, AR 54331",1425.26,compare,1987-12-10,Toys,UPI,"Williamsland, Washington",Not satisfied,1,1.2,5,Sony
Francisco Williams,robinhernandez@example.com,703-60-5343,(261)363-3506x37716,"96369 Sarah Street Apt. 703, Campbellmouth, MH 70216",7536.26,challenge,2009-05-17,Electronics,PayPal,"West Gina, New Hampshire",Okay,5,4.6,3,Apple
Kayla Watson,earcher@example.net,846-40-4599,+1-459-373-9512x4053,"14114 Frazier Radial, Carneyborough, FM 98405",6802.57,far,1999-06-19,Home,Net Banking,"Nicolefurt, Michigan",Great service!,1,4.7,2,Samsung
Tiffany Greene,alexacarter@example.net,434-28-9425,+1-314-452-2448,"23334 Moreno Mews, Cameronmouth, FM 55182",5527.7,unit,1997-07-19,Books,Net Banking,"Griffinfort, New York",Not satisfied,6,3.1,2,Apple
Sergio Anderson,ymartin@example.com,569-04-1832,+1-511-223-1217,"5797 Butler Key, West Amy, MN 94684",7763.0,door,2025-04-29,Home,Net Banking,"Murrayshire, Arkansas",Fast shipping,5,4.1,2,Apple
Nancy Callahan,rita29@example.com,394-79-1240,(250)839-6382,"PSC 4120, Box 2061, APO AA 63847",6678.7,also,2019-09-09,Toys,PayPal,"Lake Dianeton, Alabama",Not satisfied,10,3.1,1,Ikea
Julia Davis,james50@example.net,045-75-7165,436-331-0980,"77636 Todd Pines Apt. 035, Port Mark, WY 14777",242.73,require,1980-04-01,Grocery,Debit Card,"Corystad, Arizona",Okay,1,1.5,2,LG
Kyle Leblanc,jrobertson@example.org,462-78-9284,(223)346-5821x34533,"455 Zachary Rue, Lake Josephhaven, TN 05037",2667.68,right,2017-03-16,Clothing,Credit Card,"Haileymouth, Tennessee",Great service!,5,2.2,2,Nike
Antonio Nelson,tjohnson@example.com,048-06-2087,212.847.8214x697,"81969 Henry Crest, West Amanda, MH 33810",7155.38,population,1984-10-14,Clothing,Cash,"New Bonniefort, Iowa",Great service!,3,1.5,3,LG
Christopher Thompson,vhouston@example.com,553-48-3954,974.413.8292,"72695 Courtney Walk, Thompsonborough, FM 19444",3656.34,pretty,1979-09-29,Electronics,UPI,"Lake Amanda, Wisconsin",Fast shipping,9,1.6,1,Sony
Diane Brown,icombs@example.org,111-71-4409,(244)764-8424,"240 Norman Walks, Aliciafort, WY 99872",9990.84,next,1991-06-10,Electronics,Cash,"Nguyenport, Idaho",Poor quality,7,4.5,2,LG
Daniel Gonzalez,burkerebecca@example.net,759-61-1180,+1-272-967-9743x46069,"31531 Christopher Isle, North Jeffreyton, VI 47170",1173.72,discuss,1985-06-30,Toys,Net Banking,"Frederickstad, Tennessee",Not satisfied,7,2.7,4,Apple
Kenneth Evans,bartlettmary@example.org,600-81-7414,+1-642-999-6583,"1824 Sabrina Plaza Suite 228, Gabrielborough, RI 93006",4212.39,lose,1973-10-10,Electronics,PayPal,"Lisastad, Connecticut",Okay,9,2.3,4,LG
Barbara Richardson,jonpeck@example.com,053-63-7611,001-764-855-5930x5272,"36275 Brianna Radial, Bryanside, UT 67597",6811.62,knowledge,2021-10-31,Electronics,Credit Card,"Clarkbury, Wyoming",Great service!,5,4.7,4,Apple
Robert Franklin,mstephens@example.org,334-30-4006,336.967.7696x499,"50492 Linda Row, Lake Jeremy, HI 82727",4585.64,role,1984-02-28,Books,Cash,"Rossmouth, South Carolina",Fast shipping,6,1.8,4,Samsung
Sherry Hoffman,gregorywilliams@example.org,310-85-7305,001-941-517-2235x67347,"161 Vanessa Green, Sanchezfort, AL 87402",8895.39,make,2004-04-06,Home,Cash,"South Glen, Alaska",Will buy again,5,1.3,5,LG
Yolanda Yates,tjames@example.net,726-12-1892,798-306-2179x5184,"8908 Davis Forges, East Andrewborough, KS 40598",1498.87,direction,1986-01-12,Books,PayPal,"Lake Matthew, Idaho",Great service!,7,2.8,5,Apple
Kimberly Wood,cookchristine@example.net,851-67-5283,461.850.9069x46231,"47739 Wallace Ridge, Hortontown, FL 72978",7556.4,picture,2007-07-09,Books,UPI,"New Christian, North Dakota",Great service!,6,4.1,5,Nike
Jennifer Bradley,icruz@example.net,042-95-2594,(836)474-0697,"701 Jessica Estates, Simmonsland, LA 06476",2044.27,choice,2002-12-21,Toys,Debit Card,"Nicoleport, Georgia",Not satisfied,3,1.5,3,Nike
Marcus Alexander,gerald03@example.com,161-28-6594,(674)611-8166x47099,"Unit 5715 Box 2205, DPO AE 70068",7279.17,camera,1998-02-05,Electronics,Net Banking,"East Johnchester, Maine",Fast shipping,3,4.6,5,Apple
Phillip Hall,scottflores@example.com,111-13-4166,(743)650-0481,"79187 Jason Place Suite 159, Lake Daleton, MN 51686",4049.15,ok,1985-03-10,Electronics,Cash,"Zacharyberg, Nebraska",Not satisfied,10,1.5,3,Apple
Stephen Fitzpatrick,petercowan@example.net,432-62-8753,+1-822-956-9321x43125,"USS Campbell, FPO AA 29689",5265.83,point,1976-07-05,Furniture,PayPal,"West Steven, New Hampshire",Will buy again,10,2.2,3,Adidas
James Young,reynoldsderek@example.org,419-39-3627,+1-841-227-7893x749,"6406 Susan Mews, Cruzland, MP 13656",4832.91,citizen,2023-06-14,Home,Credit Card,"East Amandachester, Georgia",Poor quality,4,3.2,3,Ikea
Susan Sandoval,pittmanchristopher@example.net,023-27-1055,(376)879-3865,"0970 Thomas Pike Suite 848, New Sheilamouth, VA 67046",3382.35,do,1992-07-26,Toys,Net Banking,"Lake Jennifer, Indiana",Okay,9,3.5,4,Nike
Richard Gonzalez,sjackson@example.org,061-89-4807,+1-293-525-8572x6125,"396 Watson Pines Apt. 731, Michellebury, NE 53083",6612.86,ever,1979-11-26,Furniture,Cash,"Christopherport, Pennsylvania",Will buy again,1,2.8,1,LG
Cynthia Wells,smithroberto@example.net,729-53-2258,759-611-8000,"9029 Hernandez Cliff Suite 874, South Michaelshire, OK 07897",5167.94,book,1970-08-22,Clothing,Cash,"Allenmouth, South Dakota",Fast shipping,10,3.0,2,Adidas
Christine White,ugutierrez@example.org,256-16-6902,001-493-795-6736x90784,"371 Williams Port Apt. 880, South Gavinberg, PA 31704",5700.94,national,2015-12-05,Furniture,UPI,"South Erin, Hawaii",Great service!,3,1.9,1,Samsung
Susan Stanley,richard75@example.net,745-86-3687,001-682-968-8531x148,"83197 Holland Valley Apt. 631, New Adrienne, VT 38119",2469.94,view,1974-07-19,Electronics,PayPal,"Lake Christopher, Arizona",Will buy again,4,1.9,2,LG
Anthony Williams,ospencer@example.net,066-88-7335,646.390.6619x76575,"6278 Peters Rapid Suite 700, Jamesbury, MI 81185",4260.95,ago,1981-01-22,Home,PayPal,"East Yvonneview, Alaska",Great service!,8,4.5,4,Sony
Frank Smith,jgaines@example.net,734-95-8615,498-802-2320,"59530 Paul Courts, Kristenbury, AZ 09622",6036.25,sure,1977-06-25,Furniture,PayPal,"Carlbury, Montana",Poor quality,8,4.5,1,Adidas
William Lindsey,elowe@example.com,878-06-2911,767.973.8895x58591,"12733 John Streets, Ramirezstad, MI 59345",3736.68,home,1994-03-06,Toys,PayPal,"East Rebeccaview, Hawaii",Poor quality,8,3.3,1,Adidas
Kevin Bowen,timothy69@example.com,831-83-5880,682-336-1344x3512,"USCGC Smith, FPO AE 76592",6744.28,wife,2013-12-27,Clothing,Net Banking,"East Darleneburgh, Maryland",Fast shipping,6,4.8,4,Apple
Melinda Robinson,rpetersen@example.net,133-96-6424,001-952-577-4820x99885,"715 Arnold Cape Suite 654, West Jose, FL 49548",7069.62,still,1988-11-21,Furniture,Cash,"Schmidtton, Florida",Will buy again,2,4.4,3,Samsung
Alexander Smith,garyknight@example.net,876-25-5465,+1-669-965-5468x43649,"86915 Nicholas Creek, West Aliciaview, WI 12732",2902.7,phone,2012-06-02,Grocery,UPI,"Lake David, Kansas",Will buy again,9,1.7,4,Apple
Karen Perez,nbarr@example.com,046-20-7956,379.667.7758,"Unit 6861 Box 9401, DPO AA 91049",3320.65,ground,2024-10-16,Home,UPI,"Stoneside, New Mexico",Fast shipping,9,2.8,1,Nike
Joseph Reese,dcrawford@example.net,392-16-5074,7198714651,"0381 Sweeney Rapids Suite 981, Lake Jeremyview, OK 03014",3705.55,executive,2014-11-12,Electronics,PayPal,"Port Robertbury, Indiana",Not satisfied,3,4.1,3,LG
Yolanda Collins,micheal98@example.net,625-70-6016,001-323-651-9683x9012,"1966 Raymond Square Apt. 874, Freyside, ND 77895",822.47,occur,2008-07-02,Clothing,PayPal,"Port Joshuaberg, Vermont",Will buy again,5,4.6,4,Samsung
Tina Blake,mcgeeangela@example.net,842-89-7315,+1-969-692-3734,"8897 Jesse Parkways, Chadside, UT 75056",6326.42,as,1991-12-12,Furniture,UPI,"Lake Cassandraview, Maryland",Fast shipping,2,3.7,3,Ikea
Joshua Chen,coryhays@example.org,484-92-5991,(876)747-2700,"0989 Casey Overpass Suite 547, South Stevenfurt, AL 78062",7149.4,force,1990-10-21,Clothing,PayPal,"North Christopherfort, Iowa",Will buy again,2,4.7,1,Nike
Brooke Watts,gomezcassie@example.net,658-56-3394,7837560187,"17394 Hester Garden Suite 277, Darrenmouth, AZ 82386",3696.66,direction,2024-11-25,Books,PayPal,"Port Edward, South Carolina",Will buy again,9,4.6,1,Nike
Diane Smith,donna07@example.org,739-35-1799,728.893.3983x94045,"79496 Thomas Cove, Lake Steven, AZ 16795",1134.23,water,2019-02-03,Electronics,PayPal,"Stephanieview, Oklahoma",Okay,10,1.9,4,Sony
Joseph Castro,deborahhorne@example.org,072-25-1205,(464)579-8356x76910,"917 Benjamin Corners, West Breannastad, NY 43639",6420.98,happen,1989-04-15,Furniture,Net Banking,"Ingrammouth, Montana",Not satisfied,5,5.0,2,LG
Jordan Lowery,johnsonrobert@example.net,878-61-0275,366-392-8534x31979,"3189 Ryan Mews, Kingborough, PW 27162",7988.71,floor,2012-12-29,Toys,Net Banking,"Ingramhaven, Minnesota",Will buy again,3,5.0,1,Sony
Jose Allison,onewman@example.net,320-79-6879,(575)382-5459,"PSC 5747, Box 5019, APO AA 32798",4494.95,she,2004-05-25,Clothing,Cash,"Royborough, California",Okay,5,2.7,2,Ikea
David Davidson,egonzalez@example.org,257-43-2251,(758)251-2644,"688 Madison Stream Apt. 578, East Ricardohaven, IA 55807",7092.97,ready,2006-12-10,Furniture,UPI,"East Kenneth, California",Fast shipping,10,2.0,1,Ikea
Deanna Huffman,longcatherine@example.com,836-23-7443,981.278.4231x95253,"963 Melinda Prairie Suite 964, New Mariahland, NH 58594",5656.58,stand,1983-12-17,Grocery,Cash,"North Sarashire, Utah",Great service!,9,4.7,3,Samsung
Ricardo Hall,jessica58@example.org,712-13-9744,375-280-2384x03721,"67465 Tammy Shoal Suite 969, Wheelerchester, PW 62425",6084.29,democratic,1981-09-10,Toys,Net Banking,"East Micheal, Nebraska",Poor quality,10,2.9,1,Nike
Carolyn Mcdaniel,karahumphrey@example.org,270-71-0527,(444)539-4566,"553 Michael Trail Suite 079, North Angelicaside, VI 62070",8214.95,agree,2015-02-04,Home,Cash,"Port Kathleenton, New Jersey",Will buy again,6,2.1,1,Ikea
Ronald Simmons,sergio22@example.net,073-34-7071,001-933-750-7800,"700 Brewer Grove Apt. 800, East William, VI 13703",6544.9,color,2006-03-27,Clothing,Credit Card,"Richardberg, Massachusetts",Poor quality,9,5.0,1,Ikea
Jake Herrera,deannaelliott@example.net,409-77-9633,962-280-8203x14016,"98718 Megan Union, North Carla, DE 11412",9130.19,left,2007-05-22,Toys,Net Banking,"North Emily, Iowa",Will buy again,6,2.3,1,Apple
Dominique Cooper,glovercorey@example.com,854-80-4786,270-330-9258x26081,"0142 Bryan Junctions Suite 105, North Ruth, AL 81189",1474.33,mother,1992-01-28,Clothing,Debit Card,"Glennbury, Wyoming",Will buy again,8,3.6,3,LG
Kimberly Walker,valentinemelissa@example.net,374-51-5481,735.325.5530x385,"1557 Elizabeth Lake Suite 495, Kirbytown, AS 16590",9953.1,idea,1974-07-02,Home,PayPal,"West Elaine, Virginia",Not satisfied,4,2.1,3,LG
Janet Park,david37@example.org,468-78-0114,001-492-328-7580x164,"18139 Green Villages Apt. 221, Sarahton, NE 06222",6797.13,include,1980-01-27,Clothing,Debit Card,"Jamesside, Nebraska",Not satisfied,6,1.5,2,Nike
Charles Smith,priscillamclaughlin@example.org,681-43-3867,(466)965-5488x7310,"036 Felicia Crescent Suite 836, New Kimberlymouth, KY 78483",8339.74,relate,2004-12-26,Furniture,Debit Card,"Lake Debbieshire, Montana",Not satisfied,9,2.5,1,Nike
Kimberly Humphrey,samuel41@example.net,462-76-1152,988-667-7302,"452 Wood Crescent Apt. 334, Veronicaburgh, FL 06558",2541.38,grow,1994-05-12,Home,Debit Card,"Fordberg, Hawaii",Great service!,5,4.7,5,Ikea
David Howard,marieoconnor@example.com,295-25-3389,337-935-8978x785,"5318 Trevor Row, New Michael, HI 89009",4341.88,road,1985-03-24,Books,PayPal,"New Pamela, Wisconsin",Fast shipping,3,3.5,1,Adidas
Marissa Frederick,wilsonnicole@example.com,532-60-2534,949-340-0472,"263 Stein Ville, Lake Tinabury, UT 36312",7352.5,box,1990-06-08,Books,Credit Card,"Justinshire, Wyoming",Okay,8,2.5,5,Adidas
Gary Roberts,amanda98@example.net,285-64-3325,(328)325-8396,"4872 Patricia Underpass Suite 651, New William, PW 68634",1603.3,report,1986-09-17,Home,Credit Card,"East Jackview, Massachusetts",Will buy again,1,3.5,1,Apple
Anthony Cruz,goldendebbie@example.net,534-30-5596,(265)697-2641,"65577 Fletcher Motorway, Allisonport, MN 90344",9549.99,address,2003-07-04,Grocery,UPI,"Michaelland, Arkansas",Not satisfied,8,2.9,1,Sony
Jessica Hunt,victor71@example.net,591-75-9099,+1-930-712-7568,"3385 Tammy Overpass Suite 622, North Nicholasbury, OR 99266",9595.84,experience,1985-01-20,Home,Debit Card,"Lake Angelatown, Virginia",Will buy again,7,2.5,5,LG
Monica Thomas,kevin85@example.com,628-93-4454,001-575-953-0896x54893,"82462 Julie Radial Apt. 889, East Kylefort, NC 28892",3897.86,remember,1970-10-12,Furniture,UPI,"Estradafurt, Wisconsin",Fast shipping,2,4.2,4,Apple
Amanda Morton,albertjones@example.com,827-83-2145,(977)571-5343,"Unit 5365 Box 8506, DPO AP 51017",2389.36,say,1981-10-16,Grocery,Cash,"North Timothyside, New Jersey",Great service!,2,3.8,5,Sony
Matthew Beck,julieallen@example.org,282-71-1818,(235)470-2670,"4114 Cameron Bypass Suite 243, Nicholasstad, TX 86221",5781.5,nearly,2022-07-13,Furniture,Credit Card,"East Crystalborough, Arkansas",Not satisfied,2,2.4,4,Sony
Ashley Stevens,molly22@example.org,135-25-4775,+1-386-869-3547x278,"35131 Morales Well, Brianstad, TN 95628",8909.89,offer,1982-10-18,Home,UPI,"Jenkinsville, Arkansas",Will buy again,4,3.3,4,Apple
Robert Martin,blackmargaret@example.net,758-36-8926,317-736-7666x28525,"4025 Moore Terrace, Port Kevinberg, MP 42420",4410.65,option,2003-04-25,Toys,PayPal,"Lisastad, Maine",Great service!,8,1.8,2,Apple
Johnny Esparza,vjohnston@example.net,853-53-5307,(382)380-3252x198,"24904 Joseph Mission, Armstrongshire, MD 07625",546.85,return,1973-08-16,Home,PayPal,"Lake Peggytown, Oregon",Not satisfied,7,2.3,1,Nike
Michael Smith,chowe@example.net,023-71-2667,+1-611-861-2332x4248,"245 Rose Plaza, Mendezshire, MP 23418",5960.5,couple,2003-11-26,Furniture,UPI,"South Alyssa, Pennsylvania",Poor quality,9,3.2,4,Samsung
Casey Johnston,eric10@example.com,596-08-9925,711-269-2849x323,"16388 Christian Groves Suite 065, Tommyside, OH 36605",5192.31,relate,1974-01-28,Toys,Cash,"Jameston, New Hampshire",Fast shipping,5,3.9,1,Nike
Misty Christensen,wmccormick@example.com,063-49-0269,762-856-2973,"7218 Miller Curve Suite 365, Klineshire, SD 32939",3455.22,life,2023-12-26,Furniture,Net Banking,"Ambermouth, Arizona",Poor quality,8,4.2,5,LG
Michael Hunt,jodysutton@example.net,506-22-4633,+1-501-748-5165x4302,"1728 Patterson Corner, Lake Audrey, PW 10825",9915.39,glass,1998-01-27,Home,PayPal,"Barnesberg, Maine",Not satisfied,9,1.1,1,Apple
Sergio Doyle,thomas27@example.net,728-21-6025,8459298309,"63769 Moore Gateway Suite 796, Lake Matthew, VA 50256",6160.89,to,1976-07-02,Furniture,Cash,"Danielside, California",Okay,2,1.9,1,Adidas
John Nguyen,monica96@example.net,434-71-5283,215.259.0500x21797,"376 Garcia Canyon Suite 261, Christinamouth, CT 06547",897.93,enjoy,1992-08-09,Grocery,UPI,"New Ryan, Louisiana",Fast shipping,6,2.6,3,LG
Jesse Brown,james54@example.net,697-70-0163,001-416-972-0662x713,"48006 Wendy Walks Suite 235, New Jeffreyborough, AK 66180",7139.91,write,1973-11-19,Electronics,UPI,"Sierramouth, Colorado",Great service!,3,3.0,2,Apple
Caroline Ryan,mallory35@example.net,184-51-7853,001-868-598-9853,"5323 Anthony Brook, Michaelchester, PR 49074",1551.66,off,1980-11-06,Toys,PayPal,"Lauraville, Florida",Okay,6,4.5,4,Apple
Tonya Hamilton,cgraves@example.net,388-10-6571,716.562.4018,"4644 Knox Club Apt. 512, Lake Kellieshire, TX 05738",4422.66,western,1985-04-25,Furniture,Cash,"Lake Kristinport, Massachusetts",Not satisfied,7,4.2,4,LG
Shawn Herrera,phamdanielle@example.org,705-79-0545,504.678.0003,"PSC 6716, Box 7670, APO AP 41221",6446.79,early,1991-02-22,Electronics,Cash,"South David, Massachusetts",Okay,10,1.1,1,Ikea
Patrick Flores,stevenwelch@example.net,309-85-9692,+1-333-551-8064x588,"527 Brianna Isle, Richardsonburgh, PA 31058",7807.6,deep,1996-07-04,Toys,Credit Card,"Gallagherville, North Dakota",Great service!,1,2.0,4,Apple
Shannon Smith DDS,chapmanlaura@example.net,241-95-8353,001-861-326-8836x00207,"14656 Clark Via Suite 053, New Penny, NM 51225",8236.85,film,1975-04-05,Toys,Credit Card,"Rayfort, Massachusetts",Fast shipping,7,3.8,5,Apple
Richard Koch,vincentgibson@example.net,692-57-3539,256.635.0416x57286,"USNV Curtis, FPO AP 50606",2323.3,image,2024-12-16,Electronics,Net Banking,"New Micheal, North Dakota",Will buy again,8,2.5,1,LG
Derek Kelley DDS,mjordan@example.org,851-66-6957,001-596-860-9140x632,"2862 Pratt Square Apt. 165, Castroshire, WI 59961",7256.4,collection,2024-01-22,Home,Debit Card,"Mathewsfort, Wyoming",Great service!,8,2.0,5,Samsung
Jacob Barr,shannon24@example.com,805-36-6321,(217)428-6236x236,"9637 Anna Underpass, Batesport, FM 80709",6020.51,hot,1989-09-21,Books,Credit Card,"Ryanland, Illinois",Not satisfied,7,3.4,5,Apple
